Hydrochloric Acid,HCl,1,Cl
Hydrobromic Acid,HBr,1,Br
Hydroiodic Acid,HI,1,I
Sulfuric Acid,H2SO4,2,SO4
Sulfurous Acid,H2SO3,2,SO3
Nitric Acid,HNO3,1,NO3
Nitrous Acid,HNO2,1,NO2
Phosphoric Acid,H3PO4,3,PO4
Phosphorous Acid,H3PO3,3,PO3
Periodic Acid,HIO4,1,IO4
Perchloric Acid,HClO4,1,ClO4
Ammonia,NH4OH,1,NH4
Sodium Hydroxide,NaOH,1,Na
Potassium Hydroxide,KOH,1,K
Barium Hydroxide,Ba(OH)2,2,Ba
Strontium Hydroxide,Sr(OH)2,2,Sr
Magnesium Hydroxide,Mg(OH)2,2,Mg
Calcium Hydroxide,Ca(OH)2,2,Ca
Manganese Hydroxide,Mn(OH)2,2,Mn
Iron (II) Hydroxide,Fe(OH)2,2,Fe
Iron (III) Hydroxide,Fe(OH)3,3,Fe
Calcium Oxide,CaO,2,Ca
Aluminium Oxide,Al2O3,3,Al
Sodium Oxide,Na2O,1,Na
Mercury (I) Oxide,Hg2O,2,Hg2